# Exportaciones
# (index 0)
# X	Y
  1997	25.120
  1998	19.130
  1999	22.122
  2000	34.394
  2001	27.648
  2002	27.841
  2003	28.048
  2004	40.766
  2005	56.829	
  2006	66.782
  2007	70.683
  2008	97.005
  2009	59.830
  2010	67.602
  2011	94.666
  2012 	99.545
  2013	90.800
  2014	83.696	


# Importaciones
# (index 1)
# X	Y
  1997	18.282
  1998	20.827
  1999	16.985
  2000	19.868
  2001	23.346
  2002	17.329
  2003	14.209
  2004	21.502
  2005	28.915
  2006	38.503
  2007	54.656
  2008	59.703
  2009	50.370
  2010	49.661
  2011	62.365		
  2012 	77.503
  2013	71.000
  2014	57.357	
